"","DateTime","weekly_mean_price","sum_remuneration","sum_power","weighted_average"
99,2016-11-14,2285.33064748201,1912587.96,834,2293.2709352518
100,2016-11-21,2263.535,1935329.22,855,2263.54294736842
101,2016-11-28,2326.0542,1987916.13,846,2349.78265957447
102,2016-12-05,2362.94940298507,1993779.38,836,2384.9035645933
103,2016-12-12,2320.52171597633,1945435.09,836,2327.07546650718
104,2016-12-19,2648.73557603687,2315266.1,826,2802.98559322034
105,2016-12-26,3392.48451612903,2962037.34,857,3456.28627771295
106,2017-01-02,3004.11398907104,2558474.13,831,3078.789566787
107,2017-01-09,2711.37515789474,2307106.93,847,2723.85706021252
108,2017-01-16,2576.72730350665,3843938.66,1428,2691.83379551821
109,2017-01-23,2842.80571072319,4054584.18,1416,2863.40690677966
110,2017-01-30,2870.97897627965,4034597.43,1394,2894.25927546628
111,2017-02-06,2726.8395505618,3915040.8,1413,2770.72951167728
112,2017-02-13,2916.48039042821,4103823.65,1412,2906.39068696884
113,2017-02-20,3382.81833110814,4608580.64,1412,3263.86730878187
114,2017-02-27,3008.26746031746,4307578.04,1387,3105.67991348234
115,2017-03-06,2905.11365525672,4096808.06,1386,2955.84997113997
116,2017-03-13,2773.01121088435,3805417.56,1376,2765.5650872093
117,2017-03-20,2557.5231897712,3502865.68,1376,2545.68726744186
118,2017-03-27,2294.10436430318,3228419.38,1396,2312.62133237822
119,2017-04-03,2161.05239159001,2998200.58,1404,2135.4704985755
120,2017-04-10,2179.68443757726,2977194.45,1391,2140.32670740474
121,2017-04-17,2185.10041717791,2992543.84,1373,2179.56579752367
122,2017-04-24,2339.69447368421,3245230.65,1416,2291.82955508475
123,2017-05-01,2466.7626953125,3458493.47,1415,2444.16499646643
124,2017-05-08,2470.11865992415,3514748.6,1415,2483.92127208481
125,2017-05-15,2417.70210336538,3437254.13,1414,2430.87279349364
126,2017-05-22,2497.70498253783,3573937.08,1419,2518.63078224101
127,2017-05-29,2586.35799274486,3590650.4,1397,2570.25798138869
128,2017-06-05,2425.19904028436,3365295.19,1383,2433.32985538684
129,2017-06-12,2325.09452966715,3246836.35,1408,2305.99172585227
130,2017-06-19,2199.75815426997,3081680.38,1400,2201.20027142857
131,2017-06-26,2118.84403587444,2950013.66,1396,2113.1903008596
132,2017-07-03,1867.41833119384,2686303.12,1391,1931.20281811646
133,2017-07-10,1918.57714285714,2658293.32,1413,1881.31162066525
134,2017-07-17,1884.79080581242,2646681.1,1395,1897.26243727599
135,2017-07-24,1984.79613333333,2748029.71,1393,1972.74207465901
136,2017-07-31,2003.8746230441,2801866.02,1395,2008.50610752688
137,2017-08-07,2016.85962264151,2786951.66,1390,2005.0011942446
138,2017-08-14,1994.85756643357,2787255.01,1392,2002.33836925287
139,2017-08-21,2009.964743083,2802663.71,1393,2011.96246231156
140,2017-08-28,2004.15829105474,2796022.3,1395,2004.3170609319
141,2017-09-04,2001.55522123894,2798922.49,1401,1997.80334760885
142,2017-09-11,2002.90444145357,2834991.12,1408,2013.48801136364
143,2017-09-18,2022.54942028986,2823159.39,1392,2028.13174568966
144,2017-09-25,2061.46189821183,2906562.7,1405,2068.72790035587
145,2017-10-02,2093.92060055866,2934160.06,1392,2107.87360632184
146,2017-10-09,2154.26659891599,3010408.64,1413,2130.50859164897
147,2017-10-16,2205.21067031464,3141376.88,1417,2216.92087508821
148,2017-10-23,2437.50628447025,3423837.44,1422,2407.76191279887
149,2017-10-30,2510.36432835821,3509298.78,1401,2504.85280513919
150,2017-11-06,2553.56349862259,3565302.98,1401,2544.82725196288
151,2017-11-13,2687.64610709117,3771599.4,1413,2669.21401273885
152,2017-11-20,2713.86705882353,3839095.32,1413,2716.98182590234
153,2017-11-27,2772.80732954545,3953936.12,1425,2774.69201403509
154,2017-12-04,2815.13039408867,3992556.04,1411,2829.59322466336
155,2017-12-11,2800.14475095785,3954535.79,1412,2800.6627407932
156,2017-12-18,3012.17793577982,4091066.17,1396,2930.56315902579
157,2017-12-25,4474.83987281399,5623757.28,1415,3974.38677031802
