"","date_from","weekly_mean_neg_ht","sum_remuneration.x","sum_power.x","average.x","weekly_mean_neg_nt","sum_remuneration.y","sum_power.y","average.y","price"
"133",2017-07-17,8.10277486910995,23545.63,2226,10.5775516621743,153.861015228426,411227.57,2199,187.006625738972,84.4523293430376
"134",2017-07-24,6.59719101123595,18772.87,2232,8.41078405017921,138.582663043478,388132.29,2186,177.553655077768,75.73243826622
"135",2017-07-31,4.37121212121212,13525.77,2286,5.91678477690289,118.519904761905,360252.06,2285,157.659544857768,64.163384456813
"136",2017-08-07,7.38331683168317,23051.75,2284,10.0927101576182,116.977466666667,338229.28,2309,146.483014291901,64.7897762690555
"137",2017-08-14,6.96629032258064,21827.84,2337,9.34011125374412,105.645922330097,326258.06,2299,141.913031752936,58.6556213741369
"138",2017-08-21,5.28699481865285,18524.69,2343,7.90639778062313,101.384838709677,303366.28,2279,133.113769197016,55.6239606663324
"139",2017-08-28,3.72738693467337,12885.46,2366,5.44609467455621,94.3213930348259,288656.45,2270,127.161431718062,51.1813901299913
"140",2017-09-04,2.5509793814433,8872.16,2362,3.7562066045724,85.2063235294118,249653.63,2237,111.6019803308,45.846635839903
"141",2017-09-11,1.20519417475728,4585.03,2336,1.96276969178082,76.1033980582524,228304.5,2244,101.739973262032,40.4375866851595
"142",2017-09-18,1.04524861878453,3554.9,2285,1.55575492341357,68.4198048780488,203982.75,2247,90.7800400534045,36.3366828498277
"143",2017-09-25,1.40765027322404,6403.53,2318,2.76252372735116,62.7119897959184,182532.34,2218,82.295915238954,33.5194471660639
"144",2017-10-02,1.22078534031414,4462.15,2206,2.02273345421577,61.8852173913043,168794.89,2173,77.6782742751956,32.9973926051185
"145",2017-10-09,0.879108910891089,2836.57,2287,1.24030170529077,57.7423469387755,155972.05,2163,72.1091308368007,30.6646145445448
"146",2017-10-16,1.0160752688172,2996.79,2227,1.3456623259991,65.6188625592417,155856.83,2097,74.3237148307105,34.8556305161824
"147",2017-10-23,2.08053475935829,9579.18,2214,4.32663956639566,64.969947368421,160727.71,2076,77.4218256262042,35.0226080307721
"148",2017-10-30,7.91858638743456,17450.59,2049,8.5166373840898,94.1009574468085,214259.63,2025,105.807224691358,53.0617331328209
"149",2017-11-06,6.16837662337662,18363.77,2172,8.4547744014733,91.0975925925926,235302.47,2056,114.446726653697,50.6551087977278
"150",2017-11-13,3.98590425531915,9630.14,2172,4.43376611418048,88.5364406779661,202682.25,2024,100.139451581028,48.2742804767056
"151",2017-11-20,2.90695402298851,7637.88,2147,3.55746623195156,94.9448837209302,198492.56,2022,98.1664490603363,51.1172981504818
"152",2017-11-27,1.4856862745098,4741.66,2246,2.11115761353517,92.8460674157303,185565.81,2033,91.276837186424,49.3411240151491
"153",2017-12-04,0.751421319796954,2459.77,2199,1.11858572078217,86.8603370786517,167775.53,2026,82.8112191510365,45.8560914791971
"154",2017-12-11,0.179509803921569,691.13,2264,0.305269434628975,72.8080225988701,142285.19,2020,70.4382128712871,38.2230165060374
"155",2017-12-18,1.0660119047619,3827.98,2256,1.69679964539007,147.290887573965,313037.25,2023,154.739125061789,77.6599943981537
"156",2017-12-25,73.8704918032787,156667.42,2021,77.5197525977239,595.012055555556,1193914.82,2052,581.829834307992,346.849406149709
