"","date_from","weekly_mean_pos_nt","sum_remuneration","sum_power","average"
"122",2017-05-01,193.741049723757,475146,2163,219.669902912621
"123",2017-05-08,196.107134831461,483762.12,2124,227.759943502825
"124",2017-05-15,198.90393258427,512910.7,2164,237.019731977819
"125",2017-05-22,201.070167597765,502386.49,2133,235.530468823254
"126",2017-05-29,315.045081081081,605869.12,2152,281.537695167286
"127",2017-06-05,220.6936,528518.43,2130,248.130718309859
"128",2017-06-12,195.597307692308,503275.68,2168,232.138228782288
"129",2017-06-19,193.965568181818,499275.99,2168,230.293353321033
"130",2017-06-26,193.106923076923,518067.4,2173,238.411136677405
"131",2017-07-03,203.882275449102,559431.13,2210,253.136257918552
"132",2017-07-10,221.685611111111,597914.13,2216,269.81684566787
"133",2017-07-17,250.483389830508,647058.94,2184,296.272408424908
"134",2017-07-24,259.986,679475.13,2168,313.411037822878
"135",2017-07-31,246.104046242775,663353.59,2188,303.178057586837
"136",2017-08-07,226.454567901235,627230.71,2204,284.587436479129
"137",2017-08-14,323.415986842105,684198.59,2162,316.46558279371
"138",2017-08-21,215.680314465409,591590.1,2171,272.49659143252
"139",2017-08-28,213.104022988506,610885.41,2235,273.326805369128
"140",2017-09-04,212.109798994975,561002.61,2200,255.001186363636
"141",2017-09-11,206.523351351351,549259.09,2200,249.663222727273
"142",2017-09-18,211.77585106383,570664.56,2220,257.056108108108
"143",2017-09-25,216.925505617978,568850.81,2186,260.224524245197
"144",2017-10-02,207.387288135593,547454.95,2164,252.982878927911
"145",2017-10-09,198.838876404494,531741.22,2153,246.976878773804
"146",2017-10-16,230.638779069767,590725.04,2166,272.726241920591
"147",2017-10-23,262.026140350877,643571.9,2105,305.73486935867
"148",2017-10-30,279.788011695906,695331.85,2101,330.952808186578
"149",2017-11-06,288.082405063291,704609.06,2091,336.972290769967
"150",2017-11-13,287.29098265896,688688.58,2097,328.416108726752
"151",2017-11-20,280.178771929825,670664.53,2102,319.060195052331
"152",2017-11-27,266.548430232558,635716.39,2097,303.155169289461
"153",2017-12-04,294.860760233918,631923.28,2108,299.77385199241
"154",2017-12-11,252.57100591716,558211.99,2093,266.704247491639
"155",2017-12-18,285.802580645161,587722.88,2120,277.227773584906
"156",2017-12-25,413.802386363636,863341.84,2107,409.749330802088
