"","date_from","weekly_mean_pos_ht","sum_remuneration.x","sum_power.x","average","weekly_mean_pos_nt","sum_remuneration.y","sum_power.y","price"
"48",2015-11-30,267.480980392157,558254.27,2086,267.619496644295,574.060754716981,1192637.14,2060,428.070385990874
"49",2015-12-07,220.739894736842,464273.96,2058,225.594732750243,517.583838383838,1092912.39,2086,376.229579504316
"50",2015-12-14,181.415698924731,382357.74,2069,184.803160947318,437.273243243243,926313.04,2058,315.436317377285
"51",2015-12-21,472.632277227723,1167201.1,2509,465.205699481865,1095.19558333333,2962803.75,2535,798.736866140185
"52",2015-12-28,466.465487804878,1174054.63,2517,466.449992054033,931.244166666667,2382296.36,2503,709.920986256291
"53",2016-01-04,269.33632183908,558311.54,2054,271.816718597858,550.023369565217,1179590.49,2058,416.362870648009
"54",2016-01-11,190.688072289157,402017.47,2071,194.117561564462,415.282264150943,899394.78,2090,308.332648978664
"55",2016-01-18,150.68612244898,328934.56,2061,159.599495390587,354.391636363636,761266.24,2063,257.38901068999
"56",2016-01-25,173.041530612245,366261.11,2063,177.53810470189,362.078796296296,773190.52,2085,272.061050732462
"57",2016-02-01,166.221739130435,346257.83,2086,165.991289549377,347.692079207921,723135.33,2070,261.277631551975
"58",2016-02-08,136.043917525773,291191.73,2071,140.60440849831,327.125339805825,694202.08,2085,236.134186339134
"59",2016-02-15,130.219183673469,281138.83,2077,135.358127106403,350.959380530973,738918.86,2061,245.845001075019
"60",2016-02-22,131.958514851485,286536.88,2095,136.771780429594,337.366050420168,705465.69,2067,239.552938244605
"61",2016-02-29,129.725729166667,278566.23,2091,133.221535150646,331.444272727273,688740.92,2062,235.387823412698
"62",2016-03-07,133.869705882353,296318.46,2125,139.443981176471,300.06380952381,626441.64,2077,220.923760170735
"63",2016-03-14,144.515108695652,301945.51,2076,145.445814065511,258.338363636364,532156.5,2054,204.136813664596
"64",2016-03-21,128.651224489796,273242.1,2093,130.550453893932,242.337943925234,518830.65,2072,188.201410860739
"65",2016-03-28,137.9493,282887.58,2056,137.59123540856,262.080849056604,546374.25,2069,202.970587601078
"66",2016-04-04,132.888111111111,269154.66,2008,134.041165338645,250.073092783505,500642.73,1986,194.270720558556
"67",2016-04-11,133.391063829787,267324.06,1998,133.795825825826,302.8795,694625.78,1980,222.170720871327
"68",2016-04-18,146.501855670103,292489.81,2008,145.662255976096,467.055,958133.55,2010,314.410645557192
"69",2016-04-25,196.154601769911,418727.69,1976,211.906725708502,511.730119047619,1045571.68,1977,361.456063201092
"70",2016-05-02,242.109907407407,504026.28,1987,253.661942627076,440.31,897961.16,1988,345.929003527337
"71",2016-05-09,275.180961538462,570420.82,1974,288.966980749747,466.113473684211,1053827.25,1989,375.193229805282
"72",2016-05-16,372.558113207547,821029.06,1977,415.290369246333,724.456057692308,1590535,1983,556.88560793766
"73",2016-05-23,456.197256637168,932162.97,2019,461.695378900446,754.542924528302,1526451.86,1983,612.473558865857
"74",2016-05-30,418.915057471264,835348.41,1975,422.961220253165,688.93625,1381387.56,1993,560.354729748221
"75",2016-06-06,306.687653061224,642779.52,2003,320.908397403894,492.91931372549,1028396.68,2016,404.23757055203
"76",2016-06-13,245.498991596639,509973.55,1984,257.043119959677,448.82452173913,994513.44,2007,352.002840718896
"77",2016-06-20,331.560265486726,660262.23,1984,332.793462701613,712.973220338983,1436910.58,2011,531.34800374267
"78",2016-06-27,332.837857142857,652633.82,1976,330.280273279352,688.349090909091,1369887.8,1982,519.058027210884
"79",2016-07-04,190.974676258993,564627.4,2247,251.280551846907,380.195972222222,1131508.32,2256,290.090593192113
"80",2016-07-11,226.025066666667,530518.99,2245,236.311354120267,425.39012987013,1056958.67,2238,330.454385487528
"81",2016-07-18,246.627553956835,564686.18,2266,249.199549867608,450.121081081081,1014652.75,2277,353.219401498106
"82",2016-07-25,273.210130718954,589906.67,2267,260.214675782973,515.867662337662,1074215.01,2235,400.316456804944
"83",2016-08-01,335.637948717949,747918.69,2235,334.639234899329,628.845403726708,1402788.33,2231,489.222806103489
"84",2016-08-08,328.650820895522,785502.35,2276,345.124055360281,589.865338345865,1393038.24,2232,465.477472893321
"85",2016-08-15,283.403899371069,628016.65,2256,278.37617464539,496.936428571429,1108367.73,2283,395.254271809353
"86",2016-08-22,243.650188679245,562653.17,2237,251.521309789897,391.822716049383,889983.71,2277,321.264369682651
"87",2016-08-29,227.729872611465,525673.17,2237,234.990241394725,356.204875,831192.79,2277,295.026302434031
"88",2016-09-05,202.807080745342,485826.23,2262,214.777290008842,327.755886075949,760559.08,2244,268.256454966136
"89",2016-09-12,202.227908496732,489887.4,2269,215.904539444689,302.480909090909,715008.59,2275,254.741384998444
"90",2016-09-19,272.980797546012,646132.39,2282,283.143028045574,328.352545454545,784317.17,2269,301.985046450482
"91",2016-09-26,266.1735,673959.77,2231,302.08864634693,328.358417721519,812318.5,2265,298.746552139843
"92",2016-10-03,292.081497005988,728536.74,2238,325.530268096515,348.752426035503,819005.56,2182,321.766269354782
"93",2016-10-10,300.370348837209,734358.66,2215,331.538898419865,332.985555555556,804162.69,2184,317.454504737295
"94",2016-10-17,306.094598540146,747828.07,2189,341.63,371.080413793103,936840.27,2190,340.134787482171
"95",2016-10-24,294.362424242424,746212.95,2193,340.270383036936,381.31821656051,961025.85,2191,339.91069640904
"96",2016-10-31,290.03838028169,748788.61,2181,343.323525905548,330.087703703704,900648.36,2222,311.016597312269
"97",2016-11-07,281.740993377483,792905.37,2226,356.201873315364,309.815722891566,829790.56,2202,296.446804075336
"98",2016-11-14,324.456283783784,829107.63,2181,380.150220082531,329.474285714286,911732.05,2186,327.084760985475
"99",2016-11-21,288.332787878788,753471.37,2180,345.629068807339,312.0148125,850217.58,2242,300.73765791847
"100",2016-11-28,277.828117647059,706964.83,2185,323.553697940503,346.917294117647,780630.1,2191,314.01768627451
"101",2016-12-05,293.655621301775,702041.9,2193,320.128545371637,323.883416149068,731765.32,2184,309.489228126548
"102",2016-12-12,278.125217391304,651488.44,2179,298.985057365764,268.792678571429,644490.14,2193,273.236744676131
"103",2016-12-19,344.390467836257,847560.64,2200,385.254836363636,421.432229299363,1102607.96,2176,384.745676221694
"104",2016-12-26,334.941397058824,850316.03,2184,389.338841575092,239.392317073171,660194,2200,284.891878971101
"105",2017-01-02,241.689556962025,629515.51,2107,298.77337921215,202.152047244094,525112,2115,220.979432824062
"106",2017-01-09,219.63993902439,546402.05,2128,256.767880639098,151.930538461538,424662.16,2146,184.173110158135
"107",2017-01-16,529.373071895425,779169.48,2120,367.532773584906,164.92,449184.73,2137,338.469081854964
"108",2017-01-23,295.114968152866,628308.75,2117,296.792040623524,199.012810457516,484055.61,2135,244.775742693397
"109",2017-01-30,270.579940828402,586686.06,2108,278.314070208729,179.285159235669,461879.12,2106,222.758864756018
"110",2017-02-06,354.001794871795,631654.13,2136,295.718225655431,145.991145038168,411703.61,2122,245.043835435133
"111",2017-02-13,311.905578231293,600403.15,2128,282.144337406015,138.231420118343,401974.48,2229,220.933400172129
"112",2017-02-20,241.476470588235,527996.48,2122,248.820207351555,153.602944785276,399155.88,2155,195.447480881923
"113",2017-02-27,202.402360248447,455907.94,2123,214.747027790862,140.080740740741,387720.67,2142,169.757702411077
"114",2017-03-06,167.013333333333,378345.98,2106,179.651462488129,134.49641509434,339533,2121,149.980661874813
"115",2017-03-13,138.224606060606,319031.96,2126,150.062069614299,121.481324503311,312064.84,2139,129.454315721071
"116",2017-03-20,235.82393258427,385970.45,2133,180.95192217534,325.939122807018,461542.84,2113,283.027127462852
"117",2017-03-27,185.038187134503,315972.73,2131,148.274392304083,254.958658536585,386757.16,2120,221.663195964165
"118",2017-04-03,170.235131578947,303003.81,2142,141.458361344538,252.25375,403067.57,2124,213.197265037594
"119",2017-04-10,153.026982248521,316116.55,2145,147.373682983683,224.962625,445413.77,2135,190.707557023105
"120",2017-04-17,132.715696969697,307442.22,2161,142.268496066636,222.061925465838,487626.01,2115,179.516102372438
"121",2017-04-24,125.061886792453,292816.61,2126,137.731237064911,196.353273809524,471600.05,2160,162.404994277585
"122",2017-05-01,115.832380952381,279850.22,2134,131.138809746954,193.741049723757,475146,2163,156.641683642149
"123",2017-05-08,104.911775147929,261352.29,2121,123.22125884017,196.107134831461,483762.12,2124,152.680773077398
"124",2017-05-15,95.9086956521739,248905.82,2142,116.202530345472,198.90393258427,512910.7,2164,149.858581664224
"125",2017-05-22,90.7990502793296,228516.06,2135,107.033283372365,201.070167597765,502386.49,2133,148.560111731844
"126",2017-05-29,81.4900555555556,209194.81,2164,96.6704297597042,315.045081081081,605869.12,2152,203.828402259402
"127",2017-06-05,75.9934759358289,183911.75,2123,86.6282383419689,220.6936,528518.43,2130,151.788779017061
